2	101	{}
2	120	{}
101	76	{}
101	120	{}
76	120	{}
76	181	{}
120	181	{}
272	273	{}
272	54	{}
272	276	{}
272	274	{}
51	273	{}
51	122	{}
51	270	{}
51	276	{}
273	54	{}
273	122	{}
273	275	{}
273	276	{}
54	229	{}
54	122	{}
54	274	{}
229	122	{}
229	20	{}
229	268	{}
229	274	{}
122	20	{}
122	270	{}
20	261	{}
20	270	{}
20	268	{}
261	270	{}
261	107	{}
261	36	{}
261	221	{}
261	268	{}
270	52	{}
270	169	{}
270	158	{}
270	107	{}
50	269	{}
52	169	{}
52	269	{}
169	212	{}
169	269	{}
169	244	{}
169	158	{}
212	269	{}
212	244	{}
269	239	{}
269	81	{}
269	244	{}
239	81	{}
239	207	{}
239	78	{}
239	244	{}
275	276	{}
81	267	{}
81	7	{}
81	266	{}
81	207	{}
267	7	{}
267	266	{}
7	266	{}
7	161	{}
7	61	{}
7	62	{}
7	207	{}
266	148	{}
266	75	{}
266	178	{}
266	134	{}
266	215	{}
266	161	{}
266	61	{}
111	148	{}
32	148	{}
148	75	{}
148	133	{}
75	17	{}
75	178	{}
75	133	{}
17	178	{}
17	133	{}
17	215	{}
178	215	{}
134	215	{}
134	151	{}
134	161	{}
133	3	{}
133	215	{}
3	215	{}
215	59	{}
215	151	{}
215	9	{}
215	161	{}
215	201	{}
215	94	{}
215	124	{}
215	87	{}
59	161	{}
59	19	{}
59	201	{}
59	94	{}
59	124	{}
151	9	{}
161	61	{}
161	201	{}
61	117	{}
61	201	{}
61	62	{}
117	19	{}
117	201	{}
117	174	{}
117	176	{}
117	62	{}
19	201	{}
19	94	{}
19	262	{}
19	263	{}
19	66	{}
19	69	{}
19	174	{}
94	262	{}
94	171	{}
94	124	{}
262	171	{}
262	21	{}
262	124	{}
262	1	{}
262	57	{}
262	146	{}
262	175	{}
262	95	{}
262	263	{}
262	66	{}
171	21	{}
171	124	{}
21	124	{}
124	87	{}
124	86	{}
124	132	{}
124	243	{}
124	57	{}
86	28	{}
86	203	{}
86	132	{}
28	203	{}
28	195	{}
28	249	{}
28	132	{}
203	35	{}
203	195	{}
35	195	{}
195	249	{}
195	143	{}
249	132	{}
249	143	{}
132	143	{}
132	243	{}
143	166	{}
143	243	{}
143	187	{}
143	16	{}
143	170	{}
166	68	{}
166	13	{}
166	243	{}
166	57	{}
166	146	{}
166	186	{}
166	187	{}
166	14	{}
68	13	{}
68	57	{}
13	243	{}
13	57	{}
243	57	{}
1	57	{}
1	146	{}
57	146	{}
57	186	{}
146	186	{}
146	175	{}
186	147	{}
186	187	{}
186	116	{}
186	97	{}
186	175	{}
186	95	{}
147	202	{}
147	194	{}
147	34	{}
147	187	{}
147	116	{}
202	194	{}
202	209	{}
202	40	{}
202	116	{}
194	34	{}
194	213	{}
194	170	{}
194	41	{}
194	159	{}
194	80	{}
194	209	{}
194	40	{}
34	187	{}
34	213	{}
187	14	{}
187	213	{}
187	170	{}
213	170	{}
213	41	{}
16	170	{}
170	217	{}
170	154	{}
170	41	{}
217	154	{}
217	131	{}
217	41	{}
154	131	{}
131	41	{}
131	80	{}
131	44	{}
131	163	{}
131	93	{}
41	80	{}
159	254	{}
159	256	{}
159	80	{}
159	220	{}
159	40	{}
254	256	{}
254	46	{}
254	216	{}
254	220	{}
256	179	{}
256	80	{}
256	46	{}
256	150	{}
179	80	{}
179	45	{}
179	224	{}
179	150	{}
80	93	{}
80	45	{}
44	163	{}
44	93	{}
44	224	{}
44	162	{}
44	85	{}
163	162	{}
163	85	{}
93	45	{}
93	224	{}
93	162	{}
45	224	{}
224	162	{}
224	150	{}
162	85	{}
162	150	{}
162	65	{}
85	65	{}
46	216	{}
46	240	{}
46	150	{}
216	240	{}
216	160	{}
216	220	{}
216	172	{}
240	172	{}
240	150	{}
160	220	{}
160	40	{}
160	139	{}
160	172	{}
220	40	{}
209	40	{}
209	116	{}
209	246	{}
209	139	{}
40	139	{}
116	246	{}
116	67	{}
116	97	{}
246	198	{}
246	139	{}
246	55	{}
246	67	{}
198	139	{}
198	264	{}
198	55	{}
139	264	{}
139	156	{}
139	236	{}
139	10	{}
139	223	{}
139	118	{}
139	172	{}
264	55	{}
264	5	{}
264	265	{}
264	63	{}
264	218	{}
264	156	{}
55	5	{}
55	67	{}
5	63	{}
5	113	{}
5	67	{}
265	90	{}
265	63	{}
265	218	{}
90	63	{}
90	136	{}
90	180	{}
90	71	{}
90	277	{}
90	218	{}
63	113	{}
63	67	{}
63	135	{}
63	136	{}
113	67	{}
113	97	{}
113	231	{}
113	103	{}
113	74	{}
113	200	{}
113	135	{}
113	136	{}
67	97	{}
97	95	{}
97	103	{}
175	95	{}
95	263	{}
95	66	{}
95	231	{}
95	103	{}
263	66	{}
263	231	{}
66	231	{}
66	74	{}
66	69	{}
231	103	{}
231	74	{}
231	200	{}
129	182	{}
129	74	{}
129	110	{}
129	199	{}
129	200	{}
129	157	{}
182	74	{}
182	69	{}
182	184	{}
182	176	{}
182	47	{}
182	110	{}
182	200	{}
74	69	{}
74	200	{}
69	174	{}
69	184	{}
174	184	{}
174	176	{}
184	176	{}
184	47	{}
208	176	{}
208	62	{}
208	207	{}
208	78	{}
208	47	{}
176	62	{}
176	47	{}
62	207	{}
207	78	{}
78	47	{}
78	244	{}
47	110	{}
47	244	{}
110	244	{}
110	158	{}
110	25	{}
110	199	{}
244	158	{}
244	25	{}
158	25	{}
158	199	{}
158	23	{}
158	107	{}
25	199	{}
199	157	{}
199	23	{}
200	135	{}
200	157	{}
135	157	{}
135	136	{}
157	136	{}
157	180	{}
157	191	{}
157	23	{}
136	180	{}
180	191	{}
180	23	{}
180	71	{}
180	173	{}
180	277	{}
191	23	{}
191	107	{}
191	228	{}
191	173	{}
23	107	{}
107	36	{}
107	228	{}
36	145	{}
36	228	{}
36	214	{}
36	149	{}
36	64	{}
36	221	{}
145	228	{}
145	37	{}
145	144	{}
145	214	{}
228	173	{}
228	37	{}
71	173	{}
71	277	{}
71	219	{}
173	37	{}
173	108	{}
173	219	{}
37	108	{}
37	144	{}
37	226	{}
108	226	{}
108	210	{}
108	219	{}
144	214	{}
144	125	{}
144	183	{}
144	211	{}
144	226	{}
214	125	{}
214	149	{}
125	183	{}
125	211	{}
125	84	{}
125	72	{}
125	237	{}
125	149	{}
183	211	{}
183	29	{}
183	119	{}
