element_type,osmid,leisure,geometry,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,historic,name,wikidata,barrier,source,access,addr:city,addr:country,addr:housenumber,addr:postcode,addr:state,addr:street,description,building,fee,opening_hours,operator,material,artwork_type,tourism,level,wheelchair,memorial,nodes,operator:type,operator:wikidata,operator:short,alt_name,boundary,owner,ownership,protected,protection_title,landuse,surface,wikipedia,garden:type,fence_type,ref:bcrp,address,short_name,loc_name,official_name,name:en,name:lt,website,attraction,email,not:operator:wikidata,dog,alt_name:en,alt_name:wikidata,demolished:building,garden:style,source:date,source:leisure,owner:short,owner:wikidata,park:type,restriction,sport,addr:unit,year_of_construction,surface_1,height,note,leaf_cycle,leaf_type,natural,artist_name,start_date,import,layer,basin,image,wikimedia_commons,survey:date,ways,type,protect_class,phone,operator:alt_name,operator:website,start_date:operator,source:operator,was:landuse
way,55441431,park,"POLYGON ((-76.6160635 39.2973815, -76.6164885 39.2973646, -76.6169003 39.2973482, -76.616911 39.2974894, -76.6169164 39.297616, -76.6165071 39.2976343, -76.6160796 39.2976534, -76.6160635 39.2973815))",,,,,,,West Mount Vernon Place,,,,,,,,,,,,,,,,,,,,,,"[852375659, 4590156810, 852344220, 852344221, 852375661, 4590156807, 852375662, 852375659]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,68624603,park,"POLYGON ((-76.6132433 39.2846226, -76.6131847 39.2846267, -76.6132314 39.2850191, -76.6132325 39.2851591, -76.6132173 39.2852729, -76.6131841 39.2853822, -76.6131433 39.2854864, -76.6130845 39.2855767, -76.6130125 39.2856677, -76.6129129 39.2857698, -76.612782 39.2858813, -76.6125832 39.286042, -76.6125429 39.2860768, -76.6124753 39.2861379, -76.6124457 39.2861692, -76.6123827 39.286246, -76.6123827 39.2862537, -76.612301 39.2863876, -76.612268 39.2864782, -76.6122938 39.2864945, -76.6123022 39.2864998, -76.6124546 39.2864941, -76.6131579 39.286477, -76.6133644 39.2864698, -76.6133657 39.2864521, -76.6133741 39.2864484, -76.613415 39.2864265, -76.6134086 39.2863139, -76.6133851 39.2859577, -76.613351 39.2856165, -76.6133028 39.2851714, -76.6132433 39.2846226))",,,,,,,McKeldin Square,Q6801766,,http://en.wikipedia.org/wiki/McKeldin_Square,,Baltimore,US,101,21201,MD,East Pratt Street,,,,,,,,,,,,"[825023604, 825023665, 825023690, 9002360830, 825023808, 825023843, 9002360831, 825023985, 825023625, 825023705, 9002360832, 4387318181, 4497854586, 825023886, 7482730960, 4387318180, 825023936, 825023635, 9002360833, 9002360826, 825023668, 9002360834, 4387318185, 9002360836, 9002360835, 4387318187, 9002360837, 4387229385, 9002360829, 4497854063, 9915815139, 825023604]",,,,,,,,,,recreation_ground,brick,en:McKeldin Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,69489464,park,"POLYGON ((-76.6063844 39.3037363, -76.6063307 39.3028604, -76.6051018 39.3029035, -76.6051613 39.3037819, -76.6063844 39.3037363))",32,510,12/04/1996,1709319,24,,Johnston Square,Q49508617,,Baltimore City 2010 Census shapefile,,,,,,,,,,,,Baltimore City Department of Recreation & Parks,,,,,,,"[832101650, 832101653, 832101655, 832101656, 832101650]",public,Q110062922,BCRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,71694392,park,"POLYGON ((-76.6157955 39.2976593, -76.6157339 39.2976852, -76.6156614 39.2976946, -76.615589 39.2976848, -76.615525 39.2976569, -76.6154765 39.2976141, -76.6154492 39.2975613, -76.6154462 39.2975045, -76.6154677 39.2974501, -76.6155114 39.2974044, -76.6155722 39.2973725, -76.6156399 39.2973584, -76.6157099 39.2973616, -76.6157749 39.2973818, -76.6158282 39.297417, -76.6158644 39.2974634, -76.6158796 39.2975164, -76.6158723 39.2975703, -76.6158433 39.2976197, -76.6157955 39.2976593))",25,510,12/04/1996,1707873,24,,Washington Monument,,,,,,,,,,,,,,,,,,,,,,"[9358622079, 369909276, 852375527, 852375528, 852375529, 852375532, 852375534, 852375538, 852375541, 852375542, 852375543, 852375549, 852375550, 852375551, 852375552, 852375554, 852375558, 49499810, 49499811, 9358622079]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,71698840,park,"POLYGON ((-76.5882094 39.3065558, -76.5881826 39.3065828, -76.5870339 39.3066277, -76.5857437 39.3066775, -76.5856908 39.3058398, -76.5857284 39.3057983, -76.5880995 39.3056966, -76.5881611 39.3057485, -76.5882094 39.3065558))",38,510,09/12/1979,597269,24,,Collington Square,Q49479147,,,,Baltimore,US,2131,21213,MD,East Hoffman Street,,,,,Baltimore City Department of Recreation & Parks,,,,,,,"[358245103, 3432389851, 852416561, 852416562, 852416571, 852416575, 852416579, 852416581, 358245103]",public,Q110062922,BCRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72505999,park,"POLYGON ((-76.6161767 39.3593736, -76.6161525 39.3592523, -76.6161364 39.3590636, -76.6161217 39.3587857, -76.6161244 39.3584352, -76.6161364 39.358066, -76.6161713 39.3576191, -76.6162035 39.3571888, -76.6162692 39.3568103, -76.6163027 39.3567699, -76.6163845 39.357082, -76.6164543 39.3572894, -76.6165026 39.3576533, -76.6165455 39.3582019, -76.6165777 39.3585099, -76.6166018 39.3586519, -76.6166528 39.3587608, -76.6167721 39.3588572, -76.6168392 39.3588894, -76.6169465 39.3589277, -76.6172509 39.3589765, -76.6175365 39.3590179, -76.6178115 39.3590418, -76.6179898 39.3590719, -76.6181226 39.3591113, -76.6182366 39.3591642, -76.6184002 39.3592533, -76.6185907 39.359356, -76.6186122 39.3593864, -76.6182291 39.3592926, -76.6178852 39.359245, -76.6176116 39.3592129, -76.617157 39.3591299, -76.6167372 39.3591237, -76.6167238 39.3589848, -76.6165186 39.3590771, -76.616402 39.3591486, -76.6162933 39.3592741, -76.6162504 39.3593477, -76.6162357 39.3593778, -76.6162062 39.3593829, -76.6161767 39.3593736))",,,,,,,The Lakes,,,,,,,,,,,,,,,,,,,,,,"[860788250, 860788251, 860788252, 860788253, 860788254, 9389609989, 860788255, 9785458298, 9785458299, 9785458300, 9785458301, 860788259, 860788260, 860788261, 860788262, 9785458302, 9785458303, 9785458304, 9785458305, 9785458306, 9785458307, 9785458308, 9785458309, 9785458310, 9785458311, 9785458312, 9785458313, 9785458314, 9389609982, 9389609983, 9389609984, 9389609985, 860788263, 9785458290, 9785458291, 9785458292, 9785458293, 9785458294, 9785458295, 9785458296, 9785458297, 860788250]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72838180,park,"POLYGON ((-76.6261166 39.3084816, -76.6261597 39.3084831, -76.6261994 39.3085047, -76.6264784 39.3087304, -76.6268737 39.3090529, -76.6271304 39.3092726, -76.6271744 39.3092973, -76.6278535 39.3098591, -76.6278677 39.309886, -76.6278476 39.309939, -76.6277618 39.3100001, -76.6276917 39.3100047, -76.6276535 39.3099845, -76.6269648 39.3094224, -76.6267028 39.3092073, -76.6259959 39.3086251, -76.6259907 39.3085666, -76.6261166 39.3084816))",,,,,,,Park Avenue Median Park,,,,,Baltimore,US,1600,21217,MD,Park Avenue,,,,,Baltimore City Department of Recreation & Parks,,,,,,,"[864260009, 864260010, 864260011, 864260001, 864260012, 864259989, 7773961543, 864259990, 864259992, 7773961542, 864259977, 864259980, 864259982, 864259984, 864259999, 864260004, 864260007, 864260009]",public,Q110062922,BCRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,75608958,park,"POLYGON ((-76.6673831 39.2993213, -76.667082 39.2991955, -76.667009 39.2991356, -76.6669603 39.299055, -76.6669476 39.2989422, -76.6669733 39.2987501, -76.6671236 39.2984231, -76.667136 39.2984302, -76.6670529 39.2988032, -76.6670547 39.2988933, -76.6671257 39.2990234, -76.667241 39.2991057, -76.6673654 39.2991478, -76.6675756 39.2991636, -76.6677007 39.2991412, -76.6679856 39.2990402, -76.668078 39.2990269, -76.668218 39.2990304, -76.6683429 39.2990472, -76.6685538 39.2991027, -76.6688116 39.299214, -76.6688401 39.2992563, -76.6688183 39.2992916, -76.6687419 39.2993075, -76.6682609 39.2992943, -76.6677575 39.2993637, -76.6676069 39.2993599, -76.6673831 39.2993213))",,,,,,,"Mosher, Franklintown & Rosedale",,,,,,,,,,,,,,,Baltimore City Department of Recreation & Parks,,,,,,,"[892660482, 892660483, 892660484, 892660485, 892660486, 892660487, 892660488, 1350537912, 892660489, 892660490, 892660491, 892660492, 1350537959, 892660494, 892660495, 892660496, 892660497, 1350537951, 892660498, 892660500, 892660502, 892660503, 892660504, 892660505, 892660478, 892660480, 892660481, 892660482]",public,Q110062922,BCRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,79235072,park,"POLYGON ((-76.6048434 39.3585588, -76.6048191 39.3581537, -76.6048212 39.3580881, -76.6048763 39.357835, -76.6048926 39.3576311, -76.6048731 39.3576215, -76.6040759 39.3575201, -76.6040002 39.3574555, -76.6039758 39.3573657, -76.6040988 39.3566068, -76.604198 39.3562272, -76.6043674 39.3562543, -76.6044435 39.3559141, -76.604801 39.3559575, -76.6049875 39.3550712, -76.6032444 39.3548786, -76.6031674 39.3552698, -76.6036697 39.3553333, -76.6035839 39.3557499, -76.6033368 39.3561448, -76.6031709 39.356217, -76.6030454 39.3563672, -76.6023768 39.3568473, -76.6021622 39.3571356, -76.6021247 39.3573626, -76.6021107 39.3575403, -76.6021395 39.3579994, -76.602225 39.3582291, -76.6023131 39.3584356, -76.6026692 39.3587356, -76.6026976 39.358753, -76.6027421 39.3587538, -76.6029037 39.3586943, -76.6030786 39.3586636, -76.6032704 39.35864, -76.6048434 39.3585588))",111,510,09/12/1979,597316,,,Dewees Park,Q49483062,,,,,,,,,,,,,,,,,,,,,"[925558716, 8382561250, 8382561248, 8382561249, 8382561247, 8382561246, 8382561245, 8382561244, 925558718, 925558719, 925558721, 6611576977, 6611576976, 6611576975, 6611576973, 6611576972, 6611576974, 925558722, 6611576970, 6611576971, 8382561264, 925558723, 925558724, 925558725, 8382561260, 8382561257, 925558726, 8382561256, 8382561254, 925558727, 8382561253, 8382561252, 8382561251, 925558728, 925558729, 925558716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,79587176,park,"POLYGON ((-76.5902854 39.3520813, -76.5895559 39.3518449, -76.5891321 39.3516955, -76.5887673 39.3514479, -76.5882577 39.3511272, -76.5878446 39.3508659, -76.5872277 39.3506958, -76.586584 39.3505838, -76.5854146 39.350169, -76.5848835 39.3500155, -76.5845884 39.3499243, -76.5844168 39.3498164, -76.5843363 39.3496671, -76.5843095 39.3489619, -76.5848835 39.3485221, -76.5852161 39.3486217, -76.5855862 39.3486922, -76.5860422 39.3487171, -76.5866591 39.3487379, -76.58682 39.3487752, -76.5871526 39.3488748, -76.5875389 39.3491237, -76.5878661 39.3493808, -76.5882148 39.3496173, -76.5891321 39.3499118, -76.5899582 39.35014, -76.5904196 39.3503474, -76.5908507 39.3505393, -76.5907302 39.3509745, -76.5910901 39.351058, -76.5916352 39.3511374, -76.5922938 39.3511574, -76.5928785 39.3513233, -76.5933827 39.3513482, -76.5935866 39.3514104, -76.5937743 39.351593, -76.5935759 39.3519207, -76.5935919 39.352265, -76.5939406 39.3525636, -76.5944771 39.35263, -76.5954105 39.3525968, -76.5956626 39.3530282, -76.5955285 39.3535799, -76.5952388 39.3538702, -76.5945736 39.3538951, -76.5949116 39.3534057, -76.5948419 39.3530987, -76.5941928 39.3531112, -76.5936617 39.3532563, -76.5931896 39.3529079, -76.5922938 39.3526549, -76.5916929 39.3529038, -76.5912692 39.3525387, -76.5906824 39.352268, -76.5902854 39.3520813))",,,,,,,Chinquapin Run Park,,,,,,,,,,,,,,,Baltimore City Department of Recreation & Parks,,,,,,,"[925558309, 925558310, 925558312, 925558313, 925558314, 925558315, 925558316, 925558317, 925558318, 925558319, 925558320, 925558321, 925558322, 925558323, 925558324, 925558325, 925558326, 925558327, 925558328, 925558329, 925558330, 925558331, 925558332, 925558333, 925558334, 925558335, 925558336, 925558337, 10614911015, 925558338, 10005116082, 928783044, 928783444, 928783445, 928783447, 928783450, 928783455, 928783460, 928783464, 928783466, 928783467, 928783468, 928783470, 928783473, 928783475, 928783492, 925558298, 925558300, 925558302, 925558303, 925558304, 925558305, 925558306, 925558307, 925558309]",public,Q110062922,BCRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
